localisation\russian\KR_country_specific\AFG - Afghanistan l_russian.yml

l_russian:

### World Tension ###
 AFG_anglo_afghan_war_threat: "Fifth Anglo-Afghan War"
 afghanistan_events.9.d.puppet: "Catastrophe! Our campaign against [RAJ.GetNameDef] has been crowned with spectacular failure and our armies are fleeing in panic through the Pass of Khyber. The leader, [RAJ.GetLeader], has offered peace - demanding a restoration of pre-1925 borders and the permanent submission of our government to theirs. Unfortunately, we are unable to decline lest our very nation be destroyed..."
 afghanistan_events.9.a: "We yield because we have no other choice..."

 afghanistan_events.10.t: "Shia Muslims Flee The War"
 afghanistan_events.10.d: "For decades, the situation of the Shia minority in Afghanistan has been bad. The post-war situation wasn't gold, and another war could only make it worse. Shia imams in the provinces of Herat and Farah have encouraged the Shia minority to flee into their friendly neighbour Persia. Let's hope the Persians send them back, as we need that manpower."
 afghanistan_events.10.a: "Traitors!"

 afghanistan_events.11.t: "Refugees from Afghanistan"
 afghanistan_events.11.d: "Yet another war has started between Afghanistan and the Dominion of India. The Shi'a minority in Afghanistan fears this will only make their situation worse, and they have decided to start a new life here. However, this situation might be more problematic than we think. If we accept these people into our nation, the government of Afghanistan will be deeply upset with us."
 afghanistan_events.11.a: "They shall be more than welcome, settle them in Meshad!"
 afghanistan_events.11.b: "This would be meddling in Afghan domestic politics, refuse them!"

 afghanistan_events.12.t: "Persia Closes Its Borders"
 afghanistan_events.12.d: "The Persians made the right choice and sent our people back home."
 afghanistan_events.12.a: "Hurrah!"

 afghanistan_events.13.t: "Domestic Reaction to Afghan Defeat"
 afghanistan_events.13.d: "The defeat of our armies has sent shock waves through Afghanistan! Our secret service reports huge dissatisfaction with the royal government amongst both the peasants and the army! Even worse, radical clerics are drumming up support for a general insurrection against the royal reform programme! These are truly dark times for our small kingdom."
 afghanistan_events.13.a: "The King can do as he likes! Suppress any rebellion!"
 afghanistan_events.13.c: "Mohammed Nadir deposes Amanullah and proclaims himself king!"

 afghanistan_events.14.t: "Order in Afghanistan"
 afghanistan_events.14.d: "The revolutionary tendencies in the people of Afghanistan have been suppressed, and we have restored order to the nation."
 afghanistan_events.14.a: "Here's to a better tomorrow."

 afghanistan_events.15.t: "Afghanistan in Chaos!"
 afghanistan_events.15.d: "Despite our best efforts, rebel forces have pushed the troops of king Amanullah out of Kabul and are in effect in control of the country!"
 afghanistan_events.15.a: "General Nadir's brigades defeat all opposition and proclaim him king!"

 afghanistan_events.20.t: "Mohammed Nadir Khan's Claim to the Throne"
 afghanistan_events.20.d: "As he assumed the throne through not-so-cordial methods and his relations to the royal family, Mohammed Nadir Khan desperately needs legitimacy to shore up his regime. It is suggested that his majesty convey a 'loya jirga' (grand assembly) of Pashtun leaders to confirm his ascension."
 afghanistan_events.20.a: "Call a loya jirga to confirm my ascension!"

 afghanistan_events.21.t: "Mohammed Nadir Khan and the Loya Jirga"
 afghanistan_events.21.d: "Speaking before the Grand Assembly of tribal leaders, Nadir Khan hopes to receive enough support to continue his rule unhindered."
 afghanistan_events.21.a: "The assembly hails Mohammed Nadir as king!"

 afghanistan_events.22.t: "Nadir Khan's Royal Oligarchy"
 afghanistan_events.22.d: "With the war-torn country finally restored to some semblance of order, Nadir Khan has resolved to reorganise his cabinet to secure continued stability for Afghanistan. Packing the government with relatives would be the obvious way to bind the state apparatus to Nadir's ambitions, but reaching out to some of Amanullah's supporters might also bridge a wide gap between the radical and moderate reformists."
 afghanistan_events.22.a: "The meek academic Muhammed Ghobar shall 'lead' the cabinet!"
 afghanistan_events.22.b: "Woo Amanullah's clique and appoint Abdul Hadi Dawai!"
 afghanistan_events.22.c: "My mild mannered brother Mahmud Khan shall retain the position!"

 afghanistan_events.23.t: "Status of Amanullah's Reforms"
 afghanistan_events.23.d: "Mohammed Nadir Khan has taken control of our shaken nation after the failure of Amanullah Khan to enforce Afghan progress. Well aware that a great factor to his predecessor's downfall was the speed of his westernisation reforms, Nadir Khan nonetheless has to address the great issue of rebuilding Afghanistan."
 afghanistan_events.23.a: "Discontinue social reform, but galvanise the improvement of our infrastructure!"
 afghanistan_events.23.b: "Cave in to the traditionalists and abandon all pretence of modernity!"
 afghanistan_events.23.c: "I shall succeed where Amanullah failed and bring Afghanistan into the modern world!"

 afghanistan_events.24.t: "Sarrafs Leave Afghanistan"
 afghanistan_events.24.d: "Sarrafs are a group of Indian merchants who travel between Afghanistan and [RAJ.GetNameDef], exchanging money and trading goods in both of them. Our economy hardly depends on their visits. Now, the war has come and borders are safe no more. Only a few of these sarrafs are brave enough to continue trading with us. With most of their caravans gone, we now suffer from an economic crisis."
 afghanistan_events.24.a: "We don't need these Indian dogs anyway!"

 afghanistan_events.25.t: "Sarrafs Return"
 afghanistan_events.25.d: "The war is over and borders are now safe. Nothing more disturbs the sarrafs now and the first wave of them have already resumed their trading within Afghanistan. Soon, our economy will recover."
 afghanistan_events.25.a: "Welcome, gentlemen!"

 afghanistan_events.30.t: "The Fifth Anglo-Afghan War"
 afghanistan_events.30.d: "After the Weltkrieg, as the British Raj collapsed into turmoil and warfare, the neighbouring Emirate of Afghanistan took advantage of this as an opportunity to seize the North West Frontier Province from the scrambling British. However, the Afghan government's attempts to modernise over the last decades have been met with fierce resistance from the conservative elements within the country. King Amanullah Khan now hopes to use the supposed turmoil in Lahore following the death of George V to his advantage.\n\nBy repeating the success of the Fourth Anglo-Afghan War, the king hopes to silence the conservative opposition and bring new lands to the crown. However, international experts do not put much hope in the tiny mountain nation winning this conflict."
 afghanistan_events.30.a: "Who cares about Afghanistan?"

### Parties ###
 AFG_totalist_party: "Kabul Student's Union"
 AFG_totalist_party_long: "Ettehadia-ye Muhasselin-e Pohantun-e Kabul (Kabul Student's Union)"

 AFG_syndicalist_party: "Kabul Student's Union"
 AFG_syndicalist_party_long: "Ettehadia-ye Muhasselin-e Pohantun-e Kabul (Kabul Student's Union)"

 AFG_radical_socialist_party: "National Front"
 AFG_radical_socialist_party_long: "Jabha-ye Melli (National Front)"

 AFG_social_democrat_party: "National Front"
 AFG_social_democrat_party_long: "Jabha-ye Melli (National Front)"

 AFG_social_liberal_party: "Intellectual Circles"
 AFG_social_liberal_party_long: "Roshanfekran (Intellectual Circles)"

 AFG_market_liberal_party: "Young Afghans"
 AFG_market_liberal_party_long: "Jawanan-e Afghan (Young Afghans)"

 AFG_social_conservative_party: "Ulemma"

 AFG_authoritarian_democrat_party: "Afghan Army"

 AFG_paternal_autocrat_party: "Bārakzai"

 AFG_national_populist_party: "Afghan Army (National Club)"
 AFG_national_populist_party_long: "Afghan Army (Klup-e Melli)"

### Country Names ###
 AFG: "Afghanistan"
 AFG_ADJ: "Afghan"
 AFG_DEF: "Afghanistan"

 AFG_totalist: "Democratic Republic of Afghanistan"
 AFG_totalist_DEF: "the Democratic Republic of Afghanistan"
 AFG_syndicalist: "Democratic Republic of Afghanistan"
 AFG_syndicalist_DEF: "the Democratic Republic of Afghanistan"
 AFG_radical_socialist: "Democratic Republic of Afghanistan"
 AFG_radical_socialist_DEF: "the Democratic Republic of Afghanistan"

### Tooltips ###
 AFG_chaos_tooltip: "§g\nThis choice may result in §RChaos§! and §RUnrest§! throughout the nation. Should the government fall, it is likely that §YNadir Khan§! will ascend the throne§!"
 AFG_nadir_king_tt: "§Y$AFG_mohammad_nadir_khan$§! becomes leader for the §YPaternal Autocrat§! party."

### Intro Screen ###
 AFG_country_intro_background: "GFX_AFG_intro"
 AFG_country_intro_header: "The Kingdom of Afghanistan"
 AFG_guide: "§MAmanullah Khan§! ($paternal_autocrat_coloured$)\n£white_dot Win or do not declare the 5th Anglo-Afghan War.\n£white_dot In the event of a defeat, let the king do as he likes and suppress the rebellion.\n£white_dot This can still lead to him being ousted so it is recommended to select the §YAmanullah Retains Control§! rule in the game rules.\n\n§MMohammad Nadir Khan§! ($paternal_autocrat_coloured$)\n£white_dot In the event of a defeat, let Nadir depose Amanullah and proclaim himself king."

### Characters ###
 AFG_amanullah_khan: "Amanullah Khan"
 AFG_amanullah_khan_leader_desc: "§YBorn:§! §LJune 1st, 1892, in Paghman, Kabul Vilayet, Emirate of Afghanistan§!\n§YBackground:§! §LWho but Babur has ever brought greater change and prestige to Afghanistan than Amanullah Khan? Ascended to the throne amidst the Weltkrieg, Amanullah immediately attacked the British Empire and won handsome concessions. He capitalised on this victory and subsequent further gains following the collapse of the British Empire to implement sweeping social reforms. Though Amanullah's rule remains absolute, he dreams of bringing true constitutional governance to Afghanistan and overcoming the nation's deep ethnic and tribal divisions. Time will tell if this great reformer's vision shall come to be.§!"

 AFG_habibullah_kalakani: "Habibullah Kalakani"
 AFG_habibullah_kalakani_leader_desc: "§YBorn:§! §LJanuary 19th, 1891, in Kalakan, Kabul Vilayet, Emirate of Afghanistan§!\n§YBackground:§! §LAn ethnic Tajik, Kalakani was a longtime officer in the Afghan Royal Army who deserted a bit before the chaos of the collapse of the British Empire. Using that chaos and the regular army's pre-occupation, Kalakani turned to a life of crime. Once the army managed to restore a modicum of order, however, Kalakani fled and sought the protection of his Tajik co-ethnics.\nOutspokenly opposed to the reforms and modernisation campaigns of Amanullah Khan, Kalakani came to head a rural ultra-conservative movement bearing his name. Rather shockingly, his movement successfully overthrew Amanullah and Kalakani has won the Afghan crown.§!"

 AFG_mohammad_nadir_khan: "Mohammad Nadir Khan"
 AFG_mohammad_nadir_khan_army_chief_desc: "§YBorn:§! §LApril 9th, 1883, in Dehra, North-Western Provinces and Oudh, British India§!"
 AFG_wali_khan: "Wali Khan"
 AFG_wali_khan_high_command_desc: "§YBorn:§! §LApril 16th, 1888, in Dehra, North-Western Provinces and Oudh, British India§!"
 AFG_mohammad_daoud_khan: "Mohammad Daoud Khan"
 AFG_mohammad_daoud_khan_high_command_desc: "§YBorn:§! §LJuly 18th, 1909, in Kabul, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_nasrullah_khan: "Nasrullah Khan"
 AFG_nasrullah_khan_sic_desc: "§YBorn:§! §L1874, in Samarkand, Samarkand Oblast, Russian Empire§!"
 AFG_mahmud_khan: "Mahmud Khan"
 AFG_mahmud_khan_sic_desc: "§YBorn:§! §L1890, in Dehra, North-Western Provinces and Oudh, British India§!"
 AFG_mohammad_ghobar: "Ghulam Mohammad Ghobar"
 AFG_mohammad_ghobar_sic_desc: "§YBorn:§! §L1897, in Kabul, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_abdul_hadi_dawi: "Abdul Hadi Dawi"
 AFG_abdul_hadi_dawi_sic_desc: "§YBorn:§! §L1894, in Kabul, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_mohammad_hashim_khan: "Mohammad Hashim Khan"
 AFG_mohammad_hashim_khan_high_command_desc: "§YBorn:§! §L1884, in Dehra, North-Western Provinces and Oudh, British India§!"
 AFG_mohammad_gul_khan_momand: "Mohammad Gul Khan Momand"
 AFG_mohammad_gul_khan_momand_high_command_desc: "§YBorn:§! §LJanuary 17th, 1885, in Andrabayo, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_inayatullah_khan: "Inayatullah Khan"
 AFG_inayatullah_khan_high_command_desc: "§YBorn:§! §LOctober 1888, in Kabul, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_ali_ahmad_khan: "Ali Ahmad Khan"
 AFG_ali_ahmad_khan_high_command_desc: "§YBorn:§! §L1883, in Mashhad, Khorasan Province, Sublime State of Persia§!"
 AFG_faiz_mohammad_khan_zikeria: "Faiz Mohammad Khan Zikeria"
 AFG_faiz_mohammad_khan_zikeria_advisor_desc: "§YBorn:§! §L1892, in Kabul, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_mohammad_yusuf: "Mohammad Yusuf"
 AFG_mohammad_yusuf_advisor_desc: "§YBorn:§! §LJanuary 21st, 1917, in Kabul, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_abdul_ahad_wardak: "Abdul Ahad Wardak"
 AFG_abdul_ahad_wardak_advisor_desc: "§YBorn:§! §L1880, in Wardak, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_abdul_majid_zabuli: "Abdul Majid Zabuli"
 AFG_abdul_majid_zabuli_advisor_desc: "§YBorn:§! §LAugust 14th, 1896, in Husain Khail, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_sher_khan_nashir: "Sher Khan Nashir"
 AFG_sher_khan_nashir_advisor_desc: "§YBorn:§! §Lin Ghazni, Kabul Vilayet, Emirate of Afghanistan§!"
 AFG_abdul_rahman_mahmoodi: "Abdul Rahman Mahmoodi"
 AFG_abdul_rahman_mahmoodi_leader_desc: "§YBorn:§! §L1909, in Kabul, Kabul Vilayet, Emirate of Afghanistan§!"

localisation\russian\KR_country_specific\ALB - Albania l_russian.yml

l_russian:

 albanian_focus: "Albania Focus Tree"

### Events ###
 ALB_country_intro_background: "GFX_ALB_intro"
 ALB_country_intro_header: "The Republic of Albania"
 ALB_country_intro_content: "The outbreak of the Weltkrieg brought new problems for Albania as Austria-Hungary demanded Albanian soldiers to fight alongside them in the war. When Prince Wilhelm of Wied refused, citing the neutrality of Albania as set forth by the Treaty of London, the Austro-Hungarians quickly cut off the remuneration that he had been receiving. His regime collapsed and he left the country on September 3, 1914 to join the Imperial German Army despite formally remaining the Albanian head of state. In 1919, the Treaty of Vlora officially determined the status of Albania; it would be a restored principality under the authority of Prince Wilhelm, influenced by Austria.\n\nHowever, due to developments in Austria, Albania was able to break free in 1924 with the help of many Albanian nationalists such as Ahmet Zogu, Shefqet Vërlaci, Ali Kelmendi, Sulejman Delvina, Fan Noli, and Anvi Rustemi. They successfully chased out the prince and removed all Austrian influence from the nation. The Albanian Revolution of 1924, as it is known, saw the emergence of two political parties in Albania: the Unity Party under Avni Rustemi and the Progressive Party under Shefqet Vërlaci.\n\nWith the help of Vërlaci, the largest landowner in Albania, and other aristocratic elements in the nation, Ahmet Zogu and the rest of the Progressive Party were able to secure victories in the 1924, 1928, and 1932 elections. However, democratic elements within the nation and in the Unity Party have been agitating for land reform and the redistribution of power to the lower class. All of these reforms have been denied by the Progressives and, as it stands, Albania is a very polarised nation with tough times ahead..."

 ALB_guide: "§MUnity Party§! ($social_democrat_coloured$)\n£white_dot Elect the Unity Party in the 1936 elections.\n£white_dot Complete the \"Arm of Gendarmerie\" focus before completing the \"Land Redistribution\" focus to avoid an assassination attempt.\n\n§MProgressive Party§! ($social_conservative_coloured$)\n£white_dot Elect the Progressive Party in the 1936 elections.\n£white_dot Complete the \"Arm of Gendarmerie\" focus before completing the \"Resist Land Reform Efforts\" focus to avoid an assassination attempt.\n\n§MAlbanian Socialist Republic§! ($radical_socialist_coloured$)\n£white_dot Have the Unity Party (§SSocial Democrats§!) be in power.\n£white_dot Complete the \"Liberalisation\" focus.\n£white_dot Take the decision to foster relations with Bulgaria when Bulgaria has a socialist government.\n §CNote: Bulgaria will need to own the state of Macedonia for this decision to be visible.§!\n£white_dot If Bulgaria accepts the offer, Albania will flip to a socialist government.\n\n§MRestoration of Wied§! ($authoritarian_democrat_coloured$)\n£white_dot Have Austria release an Albanian puppet turning it into a monarchy under Wilhelm zu Wied.\n §CNote: this path is only playable by the AI.§!"

 albania_events.2.t: "Black Monday Has Hit Albania!"
 albania_events.2.d: "On the 3rd of February, 1936, the Berlin Stock Exchange plunged, bringing the rest of the world down with it. Albania is a very new and agrarian nation and has struggled to find its standing in the world due to a lack of agrarian reform, industrialisation, and the concentration of power in the hands of aristocrats. Democratic elements within our nation, especially those in the Unity Party, have already been clamouring for the liberalisation and industrialisation of the nation. With unemployment rates skyrocketing and the economy in free-fall, the people have begun to turn against us and heed the words of Rustemi and Noli. In addition, the aristocrats who have continually funded the Albanian National Bank are now unable to do so due to the failure and shutting down of the bank. On top of all of this, the Albanian Elections of 1936 are coming up and economic developments seem to have tipped the balance of power in favour of the Unity Party."
 albania_events.2.a: "Dammit!"

 albania_events.3.t: "The [GetYear] Albanian Elections"
 albania_events.3.d: "The most anticipated elections in a long time, the [GetYear] Albanian Elections have every Albanian on the edge of his or her seat. In addition, the increased polarisation within the nation has had both the Progressive Party and the Unity Party, and their supporters, at each other's throats. The Progressive Party have campaigned upon a platform of minor industrialisation, banking reform, balancing of the budget, deflation measures to counteract the effects of Black Monday, and better conditions for sharecroppers. The Unity Party, meanwhile, have advocated for land reform, agrarian reform, the industrialisation of Albania, the liberalisation and westernisation of Albania, and the improvement of the condition of the people. This election shall decide the fate of Albania for years to come. The votes have been officially counted and the winner of the election is..."
 albania_events.3.a: "The Unity Party!"
 albania_events.3.b: "The Progressive Party!"

 albania_events.9.t: "Progressive Resistance to Land Redistribution Efforts!"
 albania_events.9.d: "Ahmet Zogu, and the rest of the Progressives, alongside the aristocratic landowners, have been violently resisting land redistribution efforts, citing the current government policy of agrarian reform as 'unfair' and 'disenfranchising towards a portion of the population'. In addition, after instituting the policy, Rustemi, the leader of the Unity Party, has already faced more than a few assassination attempts. If we do not bring about an end to the situation quickly, we may face collapse!"
 albania_events.9.a: "Damn them!"

 albania_events.10.t: "Rumours of Assassination Attempts on Rustemi"
 albania_events.10.d: "The Progressives, now extremely unhappy with the land redistribution efforts and coming to the conclusion that the Unity Party has no intention to stop their extensive reforms, have begun to take matters into their own hands. Rumours of an assassination attempt on Rustemi and other ways to undermine the Unity Party have been surfacing..."
 albania_events.10.a: "God help us."

 albania_events.11.t: "Attempted Assassination of Avni Rustemi!"
 albania_events.11.d: "The Progressives have made their move and have hired an assassin to take out Rustemi and end his and the rest of the Unity Party's reforms."
 albania_events.11.a: "The assassin has just taken the shot and..."

 albania_events.12.t: "Foiled Assassination Attempt"
 albania_events.12.d: "Due to our investment in the Arm of Gendarmerie, we have managed to foil an assassination attempt on Avni Rustemi by the Progressive Party. The assassin was caught by the gendarmerie and all who were directly involved with the plot have been implicated."
 albania_events.12.a: "Thankfully, the situation was handled well."

 albania_events.13.t: "Alliance Offer From Albania?"
 albania_events.13.d: "News has come of an Albanian delegation; apparently, they seek to form an alliance with us. While we had assisted them against the Serbian menace during the Weltkrieg, working side by side with Albanian guerrillas, they still continue to claim a portion of Macedonia as theirs due to the number of Albanians living in the area. Though the fact remains that we are not seen in a positive light by most nations in the Balkans and any aid in our favour could prove to be a smart choice down the line. What say we?"
 albania_events.13.a: "Accept the offer; we could use the help."
 albania_events.13.b: "Reject the offer; we've no time for them."

 albania_events.14.t: "Bulgaria Has Accepted Our Offer!"
 albania_events.14.d: "We've just received great news from the Bulgarians: they've accepted our offer of an Albanian-Bulgarian alliance. This will certainly help further our foreign policy goals and ensure that we can protect ourselves from neighbouring countries which eagerly await our downfall."
 albania_events.14.a: "Great!"

 albania_events.15.t: "Bulgaria Has Rejected Our Offer!"
 albania_events.15.d: "Bad news has just come from the Bulgarians: apparently, they've rejected our offer of an alliance, citing our claims on Macedonia and our precarious position in the Balkans as grounds for rejection."
 albania_events.15.a: "How dare they!"

 albania_events.19.t: "Trade With Albania?"
 albania_events.19.d: "Albania has just reached out to us in an attempt to foster relations and help open up trade relations between our two nations. This could certainly help us better fight off the effects of Black Monday while boosting relations between our two nations. With that in mind, we have decided to..."
 albania_events.19.a: "Trade with the Albanians."
 albania_events.19.b: "Not trade with the Albanians."

 albania_events.20.t: "Albanian-Bulgarian Economic Ties!"
 albania_events.20.d: "Word has come that the Bulgarians have decided to accept our offer of trade between Albania and Bulgaria, effectively ensuring better relations between our two nations while also helping us better combat the effects of Black Monday. This will surely be a great economic boon for years to come!"
 albania_events.20.a: "A toast to our Bulgarian friends!"

 albania_events.21.t: "Bulgarian Refusal"
 albania_events.21.d: "Bulgaria has refused our offer of economic ties between our two nations, citing the current economic instability of Black Monday and are, therefore, unwilling to take risks they would have normally considered economically sound."
 albania_events.21.a: "Dammit..."

 albania_events.22.t: "Trade With Albania?"
 albania_events.22.d: "Albania has just reached out to us in an attempt to foster relations and help open up trade relations between our two nations. This could certainly help us better fight off the effects of Black Monday while boosting relations between our two nations. With that in mind, we have decided to..."
 albania_events.22.a: "Trade with the Albanians."
 albania_events.22.b: "Not trade with the Albanians."

 albania_events.23.t: "Albanian-Romanian Economic Ties!"
 albania_events.23.d: "Word has come that the Romanians have decided to accept our offer of trade between Albania and Romania, effectively ensuring better relations between our two nations while also helping spur the development of better economic ties. This will surely be a great economic boon for years to come!"
 albania_events.23.a: "A toast to our Romanian friends!"

 albania_events.24.t: "Romanian Refusal"
 albania_events.24.d: "Romania has refused our offer of economic ties between our two nations, citing the current concentration of resources to build up their nation internally and recover from the effects of the civil war."
 albania_events.24.a: "Dammit..."

 albania_events.25.t: "Riots Within Albania!"
 albania_events.25.d: "Avni Rustemi, Fan Noli, and the rest of the Unity Party, alongside the lower class, have been violently rioting against our resistance towards land redistribution efforts, citing the current government policy of stalling agrarian reform as \"unfair\" and \"disenfranchising towards a portion of the population\". In addition, after bringing an end to the policy, Vërlaci, the leader of the Progressive Party, has already faced more than a few assassination attempts. If we do not bring about an end to the situation quickly, we may face collapse!"
 albania_events.25.a: "Damn them!"

 albania_events.26.t: "Rumours of Assassination Attempts on Vërlaci"
 albania_events.26.d: "The Unity Party, now extremely unhappy with the stalling of land redistribution efforts and concluding that the Progressive Party has no intention to begin agrarian reform, have begun to take matters into their own hands. Rumours of an assassination attempt on Vërlaci and other ways to undermine the Progressive Party have been surfacing..."
 albania_events.26.a: "God help us."

 albania_events.27.t: "Attempted Assassination of Shefqet Vërlaci!"
 albania_events.27.d: "The Unity Party have made their move and have hired an assassin to take out Vërlaci and end his and the rest of the Progressive Party's rule."
 albania_events.27.a: "The assassin has just taken the shot and..."

 albania_events.28.t: "Foiled Assassination Attempt"
 albania_events.28.d: "Due to our investment in the Arm of Gendarmerie, we have managed to foil an assassination attempt on Shefqet Vërlaci by the Unity Party. The assassin was caught by the gendarmerie and all who were directly involved with the plot have been implicated."
 albania_events.28.a: "Thankfully, the situation was handled well."

 albania_events.30.t: "The [GetYear] Albanian Elections"
 albania_events.30.d: "The [GetYear] Albanian Elections have finally begun, with the people on the edge of their seats, eager to see the victor of the elections. As usual, the two parties that have the greatest chance of winning are the social democratic Unity Party and the social conservative Progressive Party. The votes have been officially counted and the winner has come out to be..."
 albania_events.30.a: "The Unity Party!"
 albania_events.30.b: "The Progressive Party!"

 albania_events.31.t: "Alliance Offer From Albania?"
 albania_events.31.d: "News has come of an Albanian delegation; apparently, they seek to form an alliance with us. While we had been the first nation to recognise their independence during the Weltkrieg, Albania is not a nation strong enough to help assist us in any potential conflicts. Though the fact remains that any aid in our favour could prove to be a smart choice down the line. What say we?"
 albania_events.31.a: "Accept the offer; we could use the help."
 albania_events.31.b: "Reject the offer; we've no time for them."

 albania_events.32.t: "Romania Has Accepted Our Offer!"
 albania_events.32.d: "We've just received great news from the Romanians: they've accepted our offer of an Albanian-Romanian alliance. This will certainly help further our foreign policy goals and ensure that we can protect ourselves from neighbouring countries which eagerly await our downfall."
 albania_events.32.a: "Great!"

 albania_events.33.t: "Romania Has Rejected Our Offer!"
 albania_events.33.d: "Bad news has just come from the Romanians: apparently, they've rejected our offer of an alliance, citing our precarious position in the Balkans as grounds for rejection."
 albania_events.33.a: "How dare they!"

 albania_events.34.t: "An Offer of Friendship From the Albanians"
 albania_events.34.d: "In an attempt to cultivate ties and further expand their influence on the world stage, the Albanians have approached us in hopes of deepening Albanian-Egyptian relations. Seeing as the royal family has Albanian origins, the fact that Albania is a Muslim nation, and our common enmity towards the Ottomans, it is only natural that we accept their approach."
 albania_events.34.a: "Send word to our new friends!"

 albania_events.35.t: "Successful Delegation to Egypt!"
 albania_events.35.d: "Word has arrived from the Albanian embassy in Egypt that our efforts of cultivating ties between our two nations have been a monumental success. Citing the Albanian origins of the Egyptian royal family, shared religious heritage, alongside mutual enmity towards the Ottoman Empire, the Egyptians received our offer of friendship rather well."
 albania_events.35.a: "A rather joyous occasion!"

 albania_events.36.t: "An Offer of Friendship From the Albanians"
